country,total_vaccinations
Afghanistan,18162784.0
Albania,101509950.0
Algeria,12221121.0
Andorra,933237.0
Angola,28789948.0
Anguilla,266770.0
Antigua and Barbuda,2931694.0
Argentina,3279564492.0
Armenia,2128248.0
Aruba,14042540.0
Australia,1190146149.0
Austria,1110870251.0
Azerbaijan,517006132.0
Bahamas,1907305.0
Bahrain,310557086.0
Bangladesh,1397092732.0
Barbados,22506484.0
Belarus,22113249.0
Belgium,1559177853.0
Belize,8082170.0
Benin,706421.0
Bermuda,1913129.0
Bhutan,48623244.0
Bolivia,247341428.0
Bonaire Sint Eustatius and Saba,7391.0
Bosnia and Herzegovina,6289296.0
Botswana,7602364.0
Brazil,12766552669.0
British Virgin Islands,365565.0
Brunei,8538872.0
Bulgaria,228632000.0
Burkina Faso,403033.0
Cambodia,1241721048.0
Cameroon,5279156.0
Canada,5219907853.0
Cape Verde,2764884.0
Cayman Islands,5279697.0
Central African Republic,760238.0
Chad,440209.0
Chile,3577930110.0
China,164350092700.0
Colombia,2121365505.0
Comoros,1709738.0
Congo,1795518.0
Cook Islands,113935.0
Costa Rica,47546348.0
Cote d'Ivoire,97849638.0
Croatia,295582484.0
Cuba,781638933.0
Curacao,18620989.0
Cyprus,62440932.0
Czechia,1167563619.0
Democratic Republic of Congo,1106468.0
Denmark,727402014.0
Djibouti,362572.0
Dominica,1055335.0
Dominican Republic,969127398.0
Ecuador,815520545.0
Egypt,141741752.0
El Salvador,259885804.0
England,10343789904.0
Equatorial Guinea,9761830.0
Estonia,140957091.0
Eswatini,2333460.0
Ethiopia,231229120.0
Faeroe Islands,3668367.0
Falkland Islands,14163.0
Fiji,7025410.0
Finland,545858890.0
France,7876517005.0
French Polynesia,2668508.0
Gabon,1475646.0
Gambia,1595568.0
Georgia,38635522.0
Germany,10574814902.0
Ghana,14348206.0
Gibraltar,6538439.0
Greece,1147186340.0
Greenland,3350698.0
Grenada,788345.0
Guatemala,202047695.0
Guernsey,5252095.0
Guinea,42363366.0
Guinea-Bissau,134264.0
Guyana,13874400.0
Haiti,422254.0
Honduras,34034992.0
Hong Kong,588047719.0
Hungary,1083590748.0
Iceland,18948681.0
India,48613709305.0
Indonesia,6752288360.0
Iran,214714917.0
Iraq,23368134.0
Ireland,435219594.0
Isle of Man,10348025.0
Israel,2315230643.0
Italy,7631503530.0
Jamaica,8520817.0
Japan,6157522516.0
Jersey,4481731.0
Jordan,338236891.0
Kazakhstan,811037076.0
Kenya,167153296.0
Kiribati,38199.0
Kosovo,25329393.0
Kuwait,10577816.0
Kyrgyzstan,36625156.0
Laos,115257899.0
Latvia,153874304.0
Lebanon,187085696.0
Lesotho,524239.0
Liberia,1153672.0
Libya,10764870.0
Liechtenstein,4461505.0
Lithuania,328648802.0
Luxembourg,46366630.0
Macau,37516547.0
Madagascar,1421936.0
Malawi,45093295.0
Malaysia,1800529733.0
Maldives,79180957.0
Mali,3125353.0
Malta,95941203.0
Mauritania,3980910.0
Mauritius,13720946.0
Mexico,6753624809.0
Moldova,82966963.0
Monaco,702922.0
Mongolia,395583481.0
Montenegro,35250800.0
Montserrat,40108.0
Morocco,2509918737.0
Mozambique,12373360.0
Myanmar,21884191.0
Namibia,14586435.0
Nauru,72321.0
Nepal,483251016.0
Netherlands,321107430.0
New Caledonia,2165484.0
New Zealand,178731521.0
Nicaragua,3454808.0
Niger,2873128.0
Nigeria,111840487.0
Niue,4320.0
North Macedonia,57291693.0
Northern Cyprus,2186492.0
Northern Ireland,310584579.0
Norway,626928023.0
Oman,30670575.0
Pakistan,1656069305.0
Palestine,83177551.0
Panama,232751708.0
Papua New Guinea,718703.0
Paraguay,214957983.0
Peru,1253684829.0
Philippines,1002169535.0
Pitcairn,254.0
Poland,3465585119.0
Portugal,1223757684.0
Qatar,433700953.0
Romania,1264541297.0
Russia,6666855030.0
Rwanda,21816481.0
Saint Helena,24233.0
Saint Kitts and Nevis,1268850.0
Saint Lucia,4109179.0
Saint Vincent and the Grenadines,742003.0
Samoa,1056902.0
San Marino,2561911.0
Sao Tome and Principe,569193.0
Saudi Arabia,3045208414.0
Scotland,1030636240.0
Senegal,36393609.0
Serbia,458816335.0
Seychelles,5101972.0
Sierra Leone,1129803.0
Singapore,435806595.0
Sint Maarten (Dutch part),745658.0
Slovakia,518312369.0
Slovenia,214184013.0
Solomon Islands,385909.0
Somalia,5056993.0
South Africa,386301549.0
South Korea,2658936307.0
South Sudan,518770.0
Spain,4379873421.0
Sri Lanka,891948010.0
Sudan,8985669.0
Suriname,21664421.0
Sweden,216029758.0
Switzerland,1028373610.0
Syria,1081817.0
Taiwan,480387809.0
Tajikistan,17895767.0
Tanzania,628969.0
Thailand,1428371399.0
Timor,4533171.0
Togo,3479138.0
Tokelau,1921.0
Tonga,276676.0
Trinidad and Tobago,50375440.0
Tunisia,221728909.0
Turkey,8150957600.0
Turkmenistan,41993.0
Turks and Caicos Islands,393314.0
Tuvalu,28553.0
Uganda,50728716.0
Ukraine,508563966.0
United Arab Emirates,2295812575.0
United Kingdom,12374908183.0
United States,51411119509.0
Uruguay,553269074.0
Uzbekistan,234865040.0
Vanuatu,156252.0
Venezuela,24729620.0
Vietnam,666940317.0
Wales,629930940.0
Wallis and Futuna,168384.0
Yemen,1905120.0
Zambia,23781615.0
Zimbabwe,224898817.0
